;region_id;iso_smaf;gr_age;annee;prob
529;2;12;1;2019;0.3034559
530;2;12;1;2020;0.3327699
531;2;12;1;2021;0.4016243
532;2;12;2;2015;0.3301031
533;2;12;2;2016;0.3435901
534;2;12;2;2017;0.3661043
535;2;12;2;2018;0.3649014
536;2;12;2;2019;0.3034559
537;2;12;2;2020;0.3327699
538;2;12;2;2021;0.4016243
539;2;12;3;2015;0.3301031
540;2;12;3;2016;0.3435901
541;2;12;3;2017;0.3661043
542;2;12;3;2018;0.3649014
543;2;12;3;2019;0.3034559
544;2;12;3;2020;0.3327699
545;2;12;3;2021;0.4016243
546;2;13;1;2015;0.3333851
547;2;13;1;2016;0.3661615
548;2;13;1;2017;0.410853
549;2;13;1;2018;0.4020677
550;2;13;1;2019;0.3630218
551;2;13;1;2020;0.3980898
552;2;13;1;2021;0.4804598
553;2;13;2;2015;0.3333851
554;2;13;2;2016;0.3661615
555;2;13;2;2017;0.410853
556;2;13;2;2018;0.4020677
557;2;13;2;2019;0.3630218
558;2;13;2;2020;0.3980898
559;2;13;2;2021;0.4804598
560;2;13;3;2015;0.3333851
561;2;13;3;2016;0.3661615
562;2;13;3;2017;0.410853
563;2;13;3;2018;0.4020677
564;2;13;3;2019;0.3630218
565;2;13;3;2020;0.3980898
566;2;13;3;2021;0.4804598
567;2;14;1;2015;0.6475925
568;2;14;1;2016;0.4678722
569;2;14;1;2017;0.4985479
570;2;14;1;2018;0.6076368
571;2;14;1;2019;0.5828151
572;2;14;1;2020;0.6391153
573;2;14;1;2021;0.7713565
574;2;14;2;2015;0.6475925
575;2;14;2;2016;0.4678722
576;2;14;2;2017;0.4985479
577;2;14;2;2018;0.6076368
578;2;14;2;2019;0.5828151
579;2;14;2;2020;0.6391153
580;2;14;2;2021;0.7713565
581;2;14;3;2015;0.6475925
582;2;14;3;2016;0.4678722
583;2;14;3;2017;0.4985479
584;2;14;3;2018;0.6076368
585;2;14;3;2019;0.5828151
586;2;14;3;2020;0.6391153
587;2;14;3;2021;0.7713565
588;3;1;1;2015;0.0075458
589;3;1;1;2016;0.006933
590;3;1;1;2017;0.0065391
591;3;1;1;2018;0.0065878
592;3;1;1;2019;0.0060566
593;3;1;1;2020;0.0066417
594;3;1;1;2021;0.0080159
595;3;1;2;2015;0.0075458
596;3;1;2;2016;0.006933
597;3;1;2;2017;0.0065391
598;3;1;2;2018;0.0065878
599;3;1;2;2019;0.0060566
600;3;1;2;2020;0.0066417
601;3;1;2;2021;0.0080159
602;3;1;3;2015;0.0075458
603;3;1;3;2016;0.006933
604;3;1;3;2017;0.0065391
605;3;1;3;2018;0.0065878
606;3;1;3;2019;0.0060566
607;3;1;3;2020;0.0066417
608;3;1;3;2021;0.0080159
609;3;2;1;2015;0.0111596
610;3;2;1;2016;0.010467
611;3;2;1;2017;0.0101375
612;3;2;1;2018;0.0100057
613;3;2;1;2019;0.0093209
614;3;2;1;2020;0.0102213
615;3;2;1;2021;0.0123363
616;3;2;2;2015;0.0111596
617;3;2;2;2016;0.010467
618;3;2;2;2017;0.0101375
619;3;2;2;2018;0.0100057
620;3;2;2;2019;0.0093209
621;3;2;2;2020;0.0102213
622;3;2;2;2021;0.0123363
623;3;2;3;2015;0.0111596
624;3;2;3;2016;0.010467
625;3;2;3;2017;0.0101375
626;3;2;3;2018;0.0100057
627;3;2;3;2019;0.0093209
628;3;2;3;2020;0.0102213
629;3;2;3;2021;0.0123363
630;3;3;1;2015;0.0178224
631;3;3;1;2016;0.017868
632;3;3;1;2017;0.0177379
633;3;3;1;2018;0.0172424
634;3;3;1;2019;0.0170764
635;3;3;1;2020;0.018726
636;3;3;1;2021;0.0226006
637;3;3;2;2015;0.0178224
638;3;3;2;2016;0.017868
639;3;3;2;2017;0.0177379
640;3;3;2;2018;0.0172424
641;3;3;2;2019;0.0170764
642;3;3;2;2020;0.018726
643;3;3;2;2021;0.0226006
644;3;3;3;2015;0.0178224
645;3;3;3;2016;0.017868
646;3;3;3;2017;0.0177379
647;3;3;3;2018;0.0172424
648;3;3;3;2019;0.0170764
649;3;3;3;2020;0.018726
650;3;3;3;2021;0.0226006
651;3;4;1;2015;0.0353311
652;3;4;1;2016;0.0331268
653;3;4;1;2017;0.0308091
654;3;4;1;2018;0.0335203
655;3;4;1;2019;0.031119
656;3;4;1;2020;0.0341251
657;3;4;1;2021;0.041186
658;3;4;2;2015;0.0353311
659;3;4;2;2016;0.0331268
660;3;4;2;2017;0.0308091
661;3;4;2;2018;0.0335203
662;3;4;2;2019;0.031119
663;3;4;2;2020;0.0341251
664;3;4;2;2021;0.041186
665;3;4;3;2015;0.0353311
666;3;4;3;2016;0.0331268
667;3;4;3;2017;0.0308091
668;3;4;3;2018;0.0335203
669;3;4;3;2019;0.031119
670;3;4;3;2020;0.0341251
671;3;4;3;2021;0.041186
672;3;5;1;2015;0.0293224
673;3;5;1;2016;0.0277309
674;3;5;1;2017;0.0261463
675;3;5;1;2018;0.0254776
676;3;5;1;2019;0.0227546
677;3;5;1;2020;0.0249527
678;3;5;1;2021;0.0301157
679;3;5;2;2015;0.0293224
680;3;5;2;2016;0.0277309
