region_id;annee;nb_usagers_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;hrs_moy_etc_avd
15;2018;4619;193451;389320.3;74375.19;131.1889;286.2266;54.68031;.7100966;.5075163;1474.599;1360.182;1360.182
15;2019;4849;213825.9;581525.3;110366;147.1521;430.8095;81.76213;.6896423;.5117324;1453.095;1349.843;1349.843
16;2015;8011.583;318199.5;583045.3;56145.95;216.3313;416.9116;40.14764;.6682387;.3181785;1470.89;1398.487;1398.487
16;2016;8297;325237.2;596439;95006.64;218.013;420.0753;66.9137;.6697261;.345479;1491.825;1419.838;1419.838
16;2017;8420.167;334278.5;677782.4;104170.3;227.3743;488.1802;75.02978;.660845;.3411753;1470.168;1388.385;1388.385
16;2018;8763.333;383550.3;727435.9;136776.9;260.4085;523.743;98.47734;.7313531;.4275548;1472.879;1388.918;1388.918
16;2019;8844.333;389978.8;748779.4;130100.5;258.9272;525.097;91.23562;.7315534;.4164205;1506.133;1425.983;1425.983
17;2015;.25;0;0;0;0;0;0;.6745083;.4657782;1271.698;1487.862;1487.862
17;2016;1.166667;0;0;0;0;0;0;.698044;.5052971;1199.137;1489.062;1489.062
17;2017;.75;0;0;0;0;0;0;.7114081;.4062548;1155.275;1450.523;1450.523
17;2018;1.25;0;0;0;0;0;0;.711511;.4160421;1230.428;1464.495;1464.495
17;2019;1;0;0;0;0;0;0;.7345231;.4101908;1437.556;1502.856;1502.856
18;2015;0;0;0;0;0;0;0;.6766002;.5038453;0;0;0
18;2016;0;0;0;0;0;0;0;.6745083;.4657782;0;0;0
18;2017;0;0;0;0;0;0;0;.698044;.5052971;0;0;0
18;2018;0;0;0;0;0;0;0;.7114081;.4062548;0;0;0
18;2019;0;0;0;0;0;0;0;.711511;.4160421;0;0;0
