region_id;annee;nb_usagers;nb_etc_avq;hrs_avq;nb_employes;couts;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
11;2020;368;98.2951;169559.04;639;3251047;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
11;2021;421;144.9375;250017.15;746;5803649.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2015;93;22.35896;38569.2;155;617503.61;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2016;94;23.30048;40193.32;157;636688.15;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2017;119;23.75162;40971.55;201;654551.27;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2018;146;28.51566;49189.51;231;793755.51;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2019;178;31.75422;54776.02;296;926677.27;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2020;247;58.57116;101035.25;358;1947534.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
12;2021;310;104.6836;180579.26;454;4224728.8;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2015;337;90.28719;155745.4;586;2398198;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2016;471;101.3539;174835.5;728;2730022.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2017;549;117.6582;202960.34;848;3228478;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2018;579;131.6495;227095.33;852;3652802;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2019;726;151.2105;260838.12;1062;4467122.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2020;797;188.1888;324625.61;1127;6543862.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
13;2021;998;238.76;411861;1415;9707150;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2015;433;142.1617;245228.96;685;3541146.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2016;433;141.8791;244741.42;684;3617250.3;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2017;388;133.5168;230316.53;657;3527316.3;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2018;383;138.0787;238185.77;636;3671149.8;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2019;441;150.0128;258772;736;4403718.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2020;563;196.7436;339382.66;967;6636390.8;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
14;2021;699;268.8497;463765.78;1222;10919789;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2015;830;234.6478;404767.39;1492;5802911.6;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2016;885;230.2267;397141.05;1528;5677265.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2017;939;260.7302;449759.52;1649;6746999.7;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2018;1038;295.9596;510530.24;1760;7727601.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2019;989;295.8175;510285.27;1701;8658157.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2020;1001;302.3539;521560.51;1641;10188180;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
15;2021;1175;386.885;667376.67;1948;15721690;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2015;1200;401.1897;692052.16;2058;10018628;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2016;1277;401.481;692554.79;2279;10245150;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
