region_id;iso_smaf;gr_age;inf1avq0;inf0avq1;inf1avq1;inf0avq0;AVD
3;10;3;0;1;0;0;.1223305
3;14;3;1;0;0;0;.0139276
3;1;3;0;1;0;0;.1195416
3;1;3;0;0;1;0;.0866011
3;8;3;0;0;0;1;1
3;11;3;0;0;1;0;.0680411
3;7;3;0;1;0;0;.1223305
3;3;3;1;0;0;0;.018012
3;14;3;0;0;1;0;.0680411
3;5;3;1;0;0;0;.0184819
3;2;3;0;1;0;0;.1195416
3;5;3;0;0;1;0;.0886989
3;13;3;0;0;0;1;1
3;4;3;0;1;0;0;.1287224
3;9;3;0;0;0;1;1
3;3;3;0;0;1;0;.0866011
3;3;3;0;0;0;1;1
3;2;3;0;0;0;1;1
3;7;3;0;0;0;1;1
3;6;3;0;1;0;0;.1287224
3;11;3;0;0;0;1;1
3;4;3;0;0;0;1;1
3;5;3;0;0;0;1;1
3;7;3;1;0;0;0;.0184819
3;12;3;0;0;0;1;1
3;12;3;0;1;0;0;.0946535
3;10;3;0;0;0;1;1
3;2;3;0;0;1;0;.0866011
3;9;3;0;0;1;0;.0935207
3;2;3;1;0;0;0;.018012
3;8;3;1;0;0;0;.0184819
3;8;3;0;1;0;0;.1223305
3;10;3;1;0;0;0;.0184819
3;6;3;0;0;1;0;.0935207
3;11;3;1;0;0;0;.0139276
3;11;3;0;1;0;0;.0946535
3;9;3;0;1;0;0;.1287224
3;9;3;1;0;0;0;.0195686
3;3;3;0;1;0;0;.1195416
3;14;3;0;1;0;0;.0946535
3;6;3;1;0;0;0;.0195686
3;12;3;1;0;0;0;.0139276
3;5;3;0;1;0;0;.1223305
3;4;3;0;0;1;0;.0935207
3;14;3;0;0;0;1;1
3;6;3;0;0;0;1;1
3;4;3;1;0;0;0;.0195686
3;13;3;1;0;0;0;.0139276
3;7;3;0;0;1;0;.0886989
3;1;3;0;0;0;1;1
4;9;1;0;0;1;0;.3317098
4;14;1;0;1;0;0;.3346627
4;9;1;0;1;0;0;.4154745
4;3;1;0;1;0;0;.3951166
4;2;1;0;1;0;0;.3951166
4;11;1;0;0;0;1;1
4;2;1;1;0;0;0;.0810907
4;7;1;0;0;0;1;1
4;1;1;1;0;0;0;.0810907
4;11;1;1;0;0;0;.0636294
4;8;1;0;0;0;1;1
4;14;1;0;0;0;1;1
4;2;1;0;0;0;1;1
4;7;1;0;1;0;0;.4014036
4;10;1;0;0;1;0;.3189279
4;11;1;0;0;1;0;.2599451
4;1;1;0;1;0;0;.3951166
4;8;1;0;1;0;0;.4014036
4;12;1;0;0;0;1;1
4;5;1;0;0;1;0;.3189279
4;13;1;0;0;1;0;.2599451
4;8;1;0;0;1;0;.3189279
4;4;1;0;0;0;1;1
4;5;1;0;1;0;0;.4014036
4;13;1;0;1;0;0;.3346627
4;13;1;0;0;0;1;1
4;3;1;1;0;0;0;.0810907
4;10;1;1;0;0;0;.0830671
4;5;1;1;0;0;0;.0830671
4;4;1;1;0;0;0;.0876123
4;6;1;0;1;0;0;.4154745
4;4;1;0;1;0;0;.4154745
4;10;1;0;1;0;0;.4014036
4;3;1;0;0;1;0;.3132567
4;1;1;0;0;0;1;1
4;6;1;0;0;1;0;.3317098
4;11;1;0;1;0;0;.3346627
4;8;1;1;0;0;0;.0830671
4;4;1;0;0;1;0;.3317098
4;14;1;0;0;1;0;.2599451
4;5;1;0;0;0;1;1
4;1;1;0;0;1;0;.3132567
4;12;1;0;0;1;0;.2599451
4;7;1;0;0;1;0;.3189279
4;12;1;1;0;0;0;.0636294
4;10;1;0;0;0;1;1
4;12;1;0;1;0;0;.3346627
4;2;1;0;0;1;0;.3132567
4;14;1;1;0;0;0;.0636294
4;6;1;1;0;0;0;.0876123
4;6;1;0;0;0;1;1
4;3;1;0;0;0;1;1
4;9;1;0;0;0;1;1
4;9;1;1;0;0;0;.0876123
4;13;1;1;0;0;0;.0636294
4;7;1;1;0;0;0;.0830671
4;9;2;0;0;0;1;1
4;6;2;1;0;0;0;.0597311
4;11;2;1;0;0;0;.0430205
4;10;2;0;0;1;0;.2365169
4;10;2;0;0;0;1;1
4;3;2;0;1;0;0;.3017406
4;14;2;0;1;0;0;.2496763
4;8;2;1;0;0;0;.0565428
4;7;2;1;0;0;0;.0565428
4;9;2;0;1;0;0;.3198312
4;14;2;0;0;0;1;1
4;5;2;1;0;0;0;.0565428
4;5;2;0;1;0;0;.3072966
4;7;2;0;0;0;1;1
4;14;2;1;0;0;0;.0430205
4;1;2;0;0;1;0;.2318123
4;6;2;0;0;0;1;1
4;8;2;0;0;1;0;.2365169
4;11;2;0;0;1;0;.1885557
4;1;2;1;0;0;0;.0551595
4;8;2;0;0;0;1;1
4;2;2;0;1;0;0;.3017406
4;8;2;0;1;0;0;.3072966
4;11;2;0;0;0;1;1
4;3;2;0;0;0;1;1
4;3;2;1;0;0;0;.0551595
4;1;2;0;0;0;1;1
4;12;2;0;0;0;1;1
4;9;2;1;0;0;0;.0597311
4;2;2;0;0;1;0;.2318123
4;5;2;0;0;1;0;.2365169
4;12;2;0;1;0;0;.2496763
4;13;2;0;0;1;0;.1885557
4;10;2;1;0;0;0;.0565428
4;2;2;0;0;0;1;1
4;9;2;0;0;1;0;.2471947
4;1;2;0;1;0;0;.3017406
4;5;2;0;0;0;1;1
4;13;2;0;0;0;1;1
4;4;2;0;1;0;0;.3198312
4;13;2;0;1;0;0;.2496763
4;6;2;0;0;1;0;.2471947
4;2;2;1;0;0;0;.0551595
4;14;2;0;0;1;0;.1885557
4;6;2;0;1;0;0;.3198312
4;7;2;0;0;1;0;.2365169
4;4;2;0;0;0;1;1
4;12;2;1;0;0;0;.0430205
4;11;2;0;1;0;0;.2496763
4;10;2;0;1;0;0;.3072966
4;13;2;1;0;0;0;.0430205
4;12;2;0;0;1;0;.1885557
4;3;2;0;0;1;0;.2318123
4;7;2;0;1;0;0;.3072966
4;4;2;0;0;1;0;.2471947
4;4;2;1;0;0;0;.0597311
4;11;3;0;0;1;0;.0680411
4;14;3;0;1;0;0;.0946535
4;3;3;0;0;1;0;.0866011
4;14;3;0;0;0;1;1
4;1;3;0;0;1;0;.0866011
4;2;3;0;1;0;0;.1195416
4;4;3;0;0;1;0;.0935207
4;4;3;0;1;0;0;.1287224
4;7;3;0;0;1;0;.0886989
4;6;3;1;0;0;0;.0195686
4;5;3;1;0;0;0;.0184819
4;14;3;1;0;0;0;.0139276
4;6;3;0;0;0;1;1
4;10;3;1;0;0;0;.0184819
4;1;3;1;0;0;0;.018012
4;11;3;0;0;0;1;1
