region_id;annee;nb_places;nb_installations;nb_etc_inf_sad;nb_etc_avq_sad;nb_etc_avd_sad;hrs_inf_sad;hrs_avq_sad;hrs_avd_sad;nb_usagers_tot;nb_usagers_m65_ans;nb_usagers_65_74_ans;nb_usagers_75_84_ans;nb_usagers_85p_ans;nb_usagers_sad;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
12;2015;9380;177;10.64864;63.36185;.061413;18368.9;109299.2;105.9375;7827;193;732;2847;4055;2914.833;.834435;.3724075;.109783;.038596;.065069;.156984;.076877;.172051;.07439;.101092;.089914;.039825;.029018;.02553;.014609;.006261
12;2016;8980;178;12.47237;79.4218;.1420048;21514.84;137002.6;244.9583;8029;173;740;2905;4211;3230.417;.894098;.4023436;.098517;.03529;.06542;.155785;.083452;.174719;.082987;.105766;.084664;.041378;.025306;.027241;.014059;.005417
12;2017;9189;175;12.36443;131.6393;.3136029;21328.64;227077.8;540.965;8280;170;773;3043;4294;3378.5;.9010774;.4080314;.07824;.033521;.052316;.167925;.088895;.173474;.08263;.112895;.083;.04171;.029673;.031424;.017044;.007252
12;2018;10237;178;13.29255;159.3829;.3397121;22929.65;274935.5;586.0033;8846;182;737;3214;4713;3411.417;.8641204;.3856451;.080832;.034248;.051054;.158512;.089113;.180033;.080343;.108679;.086328;.048147;.028287;.030046;.016244;.008134
12;2019;10944;171;12.86092;207.0301;10.00527;22185.09;357126.9;17259.1;9141;174;755;3369;4843;3469;.8352522;.379499;.083117;.027578;.050014;.16191;.087874;.176516;.086456;.120472;.084174;.042616;.026256;.029283;.01547;.008264
13;2015;10301;51;6.944;9.297719;.4504179;11978.4;16038.57;776.9708;7714;233;856;3589;3036;630.4167;.7488593;.0817237;.141044;.023529;.034237;.253272;.07495;.175677;.064111;.104957;.064508;.018903;.014276;.024587;.004098;.001851
13;2016;9688;48;7.709083;10.7128;.3661715;13298.17;18479.58;631.6458;8062;163;951;3526;3422;676.25;.8321635;.0838812;.10573;.031423;.02785;.197535;.06679;.188047;.086383;.143068;.065188;.032286;.014541;.028343;.010228;.002588
13;2017;9710;48;6.527925;20.8104;.8526135;11260.67;35897.94;1470.758;8016;159;949;3492;3416;713.25;.8255407;.0889783;.115668;.013903;.027924;.192896;.073256;.174904;.107606;.134011;.066597;.030377;.021965;.028157;.009697;.003038
13;2018;10989;51;6.654858;17.97559;.6518266;11479.63;31007.89;1124.401;7904;128;737;3422;3617;674.5;.7192647;.0853365;.113417;.026316;.027304;.165061;.064616;.190388;.092043;.143687;.073511;.035705;.023474;.02681;.012108;.00556
13;2019;11005;51;7.80383;28.8881;.9860966;13461.61;49831.97;1701.017;8072;134;781;3468;3689;724.6667;.7334848;.0897754;.108786;.029209;.032429;.177323;.055083;.169848;.093261;.157774;.055198;.049448;.018054;.036914;.012764;.00391
14;2015;7404;103;3.532543;33.27899;.3603237;6093.637;57406.26;621.5583;5758;131;781;2515;2331;1088.583;.7776877;.1890558;.108551;.034755;.046544;.263339;.065452;.190997;.055424;.090714;.073643;.026564;.014698;.020593;.007655;.001072
14;2016;9172;105;5.138947;41.25579;.1266874;8864.683;71166.24;218.5358;6352;157;910;2722;2563;1319.083;.6925425;.2076643;.100828;.030324;.039295;.262682;.063807;.1918;.057047;.101775;.080927;.024954;.016362;.014846;.012761;.00259
14;2017;9478;108;5.856635;47.73044;.1359217;10102.7;82335.02;234.465;6776;159;989;2882;2746;1395.75;.7149187;.2059844;.084841;.025375;.036599;.275718;.06072;.187892;.056063;.117619;.071825;.026151;.024001;.019165;.011404;.002627
14;2018;9626;109;7.529595;75.80296;.5186251;12988.55;130760.1;894.6283;7218;136;895;3230;2957;1493.167;.7498442;.2068671;.095937;.033709;.031309;.26811;.052629;.181382;.050508;.116922;.082319;.029244;.018473;.030081;.007479;.001898
14;2019;10362;111;6.954109;148.5457;.7389019;11995.84;256241.4;1274.606;7314;132;905;3285;2992;1585.833;.7058483;.2168216;.106726;.029743;.022911;.24556;.066527;.160378;.066894;.136153;.078718;.034682;.017394;.0268;.006411;.001104
15;2015;7624;123;6.450877;38.04287;.3481744;11127.76;65623.95;600.6008;6119;174;755;2696;2494;1424.083;.802597;.2327314;.095442;.026801;.070396;.170168;.10656;.204518;.072444;.094388;.081339;.019545;.014278;.033004;.005501;.005618
