region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
15;4;1;435;195;3;8;0;0
15;4;2;269;109;6;1;0;0
15;4;3;1414;907;243;2;0;2
15;5;1;1003;47;9;116;1;16
15;5;2;42;25;6;10;0;1
15;5;3;415;276;113;20;0;7
15;6;1;42;20;9;21;2;2
15;6;2;24;11;8;15;0;4
15;6;3;374;288;235;66;5;25
15;7;1;568;38;9;131;0;10
15;7;2;31;13;6;30;0;3
15;7;3;364;273;123;98;1;20
15;8;1;20;7;1;18;0;3
15;8;2;10;6;1;7;0;4
15;8;3;259;199;174;179;7;72
15;9;1;121;141;6;41;4;37
15;9;2;54;54;5;10;1;21
15;9;3;405;292;85;128;20;237
15;10;1;84;16;1;66;0;12
15;10;2;5;5;0;11;0;10
15;10;3;153;108;46;54;13;228
15;11;1;9;8;0;11;1;9
15;11;2;5;5;0;3;0;1
15;11;3;119;68;45;33;14;263
15;12;1;160;29;0;64;0;15
15;12;2;7;4;0;5;0;16
15;12;3;130;86;68;54;17;336
15;13;1;34;14;1;27;5;24
15;13;2;6;4;2;5;1;17
15;13;3;97;55;16;23;18;311
15;14;1;55;29;2;52;3;30
15;14;2;3;3;0;2;0;10
15;14;3;51;16;5;8;14;237
16;1;1;2302;270;8;32;2;1
16;1;2;498;153;9;1;0;0
16;1;3;4648;1385;526;4;0;0
16;2;1;750;84;4;14;0;0
16;2;2;156;53;2;1;0;0
16;2;3;1367;356;154;3;0;1
16;3;1;174;17;11;52;0;5
16;3;2;59;9;15;8;0;5
16;3;3;438;129;252;10;0;1
16;4;1;573;382;18;25;0;3
16;4;2;279;222;22;7;0;1
16;4;3;2702;1578;926;22;0;11
16;5;1;1007;66;20;162;0;22
16;5;2;101;41;33;16;0;4
16;5;3;990;415;347;45;1;9
16;6;1;85;42;13;45;1;16
16;6;2;62;35;13;26;1;12
16;6;3;1036;455;851;150;2;90
16;7;1;601;59;11;133;1;18
16;7;2;72;25;15;39;0;9
16;7;3;899;529;359;133;3;66
16;8;1;32;14;3;25;0;21
16;8;2;23;15;7;32;1;11
16;8;3;778;364;751;408;6;186
16;9;1;261;273;14;85;0;104
16;9;2;89;98;12;33;0;54
16;9;3;859;537;336;218;7;566
16;10;1;152;53;3;52;0;22
16;10;2;21;17;2;18;0;23
16;10;3;386;203;219;222;4;603
16;11;1;36;21;2;16;0;20
16;11;2;8;11;1;9;1;25
16;11;3;310;149;151;64;5;763
16;12;1;154;28;5;50;1;31
16;12;2;17;3;0;26;1;27
16;12;3;318;189;206;144;4;754
16;13;1;72;45;1;30;1;93
16;13;2;11;10;1;2;0;51
16;13;3;237;119;74;43;4;1090
16;14;1;133;68;0;63;0;74
16;14;2;7;3;0;1;0;40
16;14;3;113;70;27;22;1;860
17;1;1;49;10;0;0;0;0
17;1;2;10;4;0;0;0;0
17;1;3;45;47;22;0;0;0
17;2;1;12;4;0;0;0;0
17;2;2;5;0;0;0;0;0
17;2;3;10;8;6;0;0;0
17;3;1;1;0;0;0;0;0
17;3;2;0;0;0;0;0;0
17;3;3;0;1;5;0;0;0
17;4;1;7;3;0;0;0;0
17;4;2;3;2;0;0;0;0
17;4;3;7;7;9;0;0;0
17;5;1;6;1;0;3;0;0
17;5;2;2;0;0;0;0;0
17;5;3;7;9;3;1;0;0
17;6;1;0;0;0;0;0;0
17;6;2;0;0;0;0;0;0
17;6;3;2;6;1;1;0;0
17;7;1;3;1;0;2;0;0
17;7;2;0;0;0;1;0;0
17;7;3;5;6;6;5;0;1
17;8;1;0;0;0;0;0;0
17;8;2;0;0;0;0;0;0
17;8;3;3;3;2;2;0;6
17;9;1;1;3;0;0;0;2
17;9;2;0;1;0;0;0;0
17;9;3;0;1;0;1;0;2
17;10;1;1;1;0;0;0;0
17;10;2;0;1;0;0;0;0
17;10;3;1;1;1;1;0;6
17;11;1;0;0;0;0;0;0
17;11;2;0;0;0;0;0;1
17;11;3;0;0;1;1;0;2
17;12;1;0;1;0;0;0;0
17;12;2;0;0;0;0;0;0
17;12;3;0;0;0;5;0;6
17;13;1;0;0;0;0;0;2
17;13;2;0;0;0;0;0;1
17;13;3;1;0;0;0;0;7
17;14;1;1;0;0;0;0;0
17;14;2;0;0;0;0;0;0
17;14;3;0;0;0;0;0;0
18;1;1;49;10;0;0;0;0
18;1;2;10;4;0;0;0;0
18;1;3;45;47;22;0;0;0
18;2;1;12;4;0;0;0;0
18;2;2;5;0;0;0;0;0
18;2;3;10;8;6;0;0;0
18;3;1;1;0;0;0;0;0
18;3;2;0;0;0;0;0;0
18;3;3;0;1;5;0;0;0
18;4;1;7;3;0;0;0;0
18;4;2;3;2;0;0;0;0
18;4;3;7;7;9;0;0;0
18;5;1;6;1;0;3;0;0
18;5;2;2;0;0;0;0;0
18;5;3;7;9;3;1;0;0
18;6;1;0;0;0;0;0;0
18;6;2;0;0;0;0;0;0
18;6;3;2;6;1;1;0;0
18;7;1;3;1;0;2;0;0
18;7;2;0;0;0;1;0;0
18;7;3;5;6;6;5;0;1
18;8;1;0;0;0;0;0;0
18;8;2;0;0;0;0;0;0
18;8;3;3;3;2;2;0;6
18;9;1;1;3;0;0;0;2
18;9;2;0;1;0;0;0;0
18;9;3;0;1;0;1;0;2
18;10;1;1;1;0;0;0;0
18;10;2;0;1;0;0;0;0
18;10;3;1;1;1;1;0;6
18;11;1;0;0;0;0;0;0
18;11;2;0;0;0;0;0;1
18;11;3;0;0;1;1;0;2
18;12;1;0;1;0;0;0;0
18;12;2;0;0;0;0;0;0
18;12;3;0;0;0;5;0;6
18;13;1;0;0;0;0;0;2
18;13;2;0;0;0;0;0;1
18;13;3;1;0;0;0;0;7
18;14;1;1;0;0;0;0;0
18;14;2;0;0;0;0;0;0
18;14;3;0;0;0;0;0;0
