region_id;annee;nb_usagers_none;nb_usagers_svc;iso_smaf1_none;iso_smaf2_none;iso_smaf3_none;iso_smaf4_none;iso_smaf5_none;iso_smaf6_none;iso_smaf7_none;iso_smaf8_none;iso_smaf9_none;iso_smaf10_none;iso_smaf11_none;iso_smaf12_none;iso_smaf13_none;iso_smaf14_none;iso_smaf1_svc;iso_smaf2_svc;iso_smaf3_svc;iso_smaf4_svc;iso_smaf5_svc;iso_smaf6_svc;iso_smaf7_svc;iso_smaf8_svc;iso_smaf9_svc;iso_smaf10_svc;iso_smaf11_svc;iso_smaf12_svc;iso_smaf13_svc;iso_smaf14_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;nb_en_attente_inf_m30j;nb_en_attente_inf_31_90j;nb_en_attente_inf_p90j;nb_en_attente_avq_m30j;nb_en_attente_avq_31_90j;nb_en_attente_avq_p90j;nb_en_attente_inf;nb_en_attente_avq
11;2018;1611.583;1507.083;.294224;.100005;.034645;.183153;.115466;.04902;.070945;.027457;.058586;.023114;.012979;.014479;.010135;.005791;.176998;.068067;.024717;.264971;.061266;.081559;.057893;.044954;.121703;.024827;.028366;.023777;.011059;.009842;64059.55;191896.1;7263.107;42.4027;125.9912;4.768661;.694007;.0844552;1510.742;1523.092;22;6;3;3;0;0;31;3
11;2019;1694.5;1724.583;.29522;.107996;.028622;.180338;.125258;.045097;.075145;.020557;.060687;.023704;.008803;.016573;.005852;.006147;.200097;.076782;.021261;.249529;.069389;.081372;.058613;.044842;.117806;.023049;.018265;.022566;.009326;.007103;71288.7;320159.3;31851.35;46.2527;215.2243;21.4118;.6949377;.359321;1541.287;1487.561;50;1;2;2;0;0;53;2
12;2015;5140.917;2329.25;.275956;.10337;.040444;.122125;.129662;.058161;.088052;.038028;.050542;.036083;.015918;.020651;.011217;.009791;.253265;.081249;.019999;.227362;.067905;.067117;.061572;.038246;.096812;.027656;.016243;.019391;.011699;.011484;102912.2;160948.8;5641.516;70.56823;111.0943;3.894032;.7475016;.3951218;1458.336;1448.759;0;0;0;0;0;0;0;0
12;2016;5088;2398.333;.29147;.098664;.038964;.114207;.130077;.054376;.092489;.035033;.049741;.033838;.015543;.022815;.01058;.012202;.249687;.080056;.021821;.228527;.079604;.057401;.055386;.038256;.106671;.029986;.01574;.016053;.00827;.012543;103430.2;187840.7;3851.013;69.89408;128.2238;2.628778;.7513072;.3918639;1479.814;1464.944;187;77;106;65;18;54;370;137
12;2017;5296.667;2298.333;.285179;.089128;.040529;.114632;.133339;.056356;.093392;.039333;.049056;.03422;.018549;.021397;.011847;.013043;.230276;.071392;.022843;.244815;.081907;.068637;.063416;.036077;.098477;.023894;.017186;.021392;.009137;.010551;109866.6;240221.5;4426.724;73.53577;163.4549;3.012094;.75895;.4175828;1494.057;1469.65;170;35;3;51;18;13;208;82
12;2018;5451.583;2333.25;.300295;.095951;.042449;.111206;.131185;.055565;.087054;.035403;.044911;.036411;.012993;.020972;.010609;.014996;.220972;.070038;.021429;.243437;.086325;.067395;.068824;.04018;.094432;.026215;.015893;.020858;.0105;.0135;112079.1;299886.6;6264.691;73.72209;201.0398;4.199763;.7782719;.3926133;1520.292;1491.677;346;37;32;37;23;13;415;73
12;2019;5582.25;2549;.312553;.095839;.037246;.1092;.124994;.051353;.094944;.037664;.04262;.032887;.015615;.019123;.012465;.013495;.2415;.071368;.019289;.24199;.075879;.063554;.071335;.040898;.088401;.024944;.016967;.018439;.010069;.015366;102638.1;397010.9;141212.3;68.68974;274.2225;97.53783;.7745987;.4556789;1494.228;1447.769;275;79;88;51;6;9;442;66
13;2015;6571.083;3854.167;.336347;.112818;.018883;.165447;.099831;.046897;.076611;.0305;.04062;.022142;.009093;.022219;.008966;.009626;.230595;.067957;.0192;.263827;.068995;.084519;.056216;.047935;.077276;.023481;.015546;.018724;.014162;.011568;171648.6;379849.9;14328.42;119.061;274.8442;10.36747;.7110815;.4688974;1441.686;1382.055;0;0;0;0;0;0;0;0
13;2016;7130.75;4086.833;.331615;.114738;.019657;.154928;.114224;.045449;.077668;.02647;.040587;.021924;.008508;.023724;.009501;.011009;.218099;.063721;.020554;.269116;.060356;.087374;.068003;.049142;.076812;.026365;.015232;.018494;.014192;.01254;168366;384759.8;16287.51;119.7632;276.1447;11.68966;.6823943;.4856323;1405.824;1393.327;276;52;57;20;38;20;385;78
13;2017;7846.917;4295;.309846;.113527;.018479;.152671;.122532;.048543;.077461;.02656;.050285;.022737;.008358;.02809;.009473;.011438;.215813;.057276;.021498;.277319;.0617;.086302;.064261;.048234;.080811;.027842;.014435;.018141;.014552;.011816;180957;451892.2;20493.01;127.9497;317.0839;14.37954;.6826533;.5023971;1414.283;1425.15;74;30;0;17;67;61;104;145
